Session,Priority,Question,Motivation (Why?),Literature,Other references and comments
People,High,Why do people become RSEs?  How do we highlight the importance of RSEs and of selecting an RSE career to potential candidates for RSE roles? What makes these careers attractive? What are the considerations RSEs take into account to decide to take a role (in academia vs outside of academia)? Salaries? Technology stack involved? Progression opportunities? ,"We need to understand how to attract good RSEs both in academia and outside academia.
Risk of losing the best RSEs to  other career roles (either in academia or industry). Knowing the motivations and reasons people took up RSE roles is important in keeping them happy in those roles.
Many get the RSE part ‘accidentally’ rather than by choice when they start a project.
Some people may become an RSE due to lack of other career options. Ensuring that there is high-quality software development to support the production of research outputs is increasingly important as research becomes evermore computationally focused - we need to be able to attract and retain the best candidates for RSE roles.",,
People,High,What background do RSEs have? Where do they come from?,"We need to understand where people are coming from in order to know what skills they might need to have?
Understanding where people come from may contribute to understand considerations taken by RSEs to take a role.",,
People,High,How are RSEs recruited? How are they found?,"Of course you want good people
We (INCF)  find lots of RSE-curious students via Google Summer of Code. We try to integrate them in our community so that they stay around.",,
People,High,Why do RSEs quit and what do they do after they are RSEs? Do available career progression paths help keep people in the career? ,"Understand if existing career paths work, or if alternatives need to be devised (that perhaps aren’t based on the typical junior-regular-senior-manager pyramid)   Understand what shortcomings RSE jobs have that make people leave to somewhere else?","Rodríguez-Sánchez et al. 2017, Merali 2010",https://royalsociety.org/-/media/Royal_Society_Content/policy/projects/leading-way-diversity/picture-uk-scientific-workforce/070314-diversity-report.pdf
People,High,"How can an RSE career track have branching (e.g., not just go from senior to manager type roles). How do we create enough structure to allow for professional and personal growth, and recognition of that work?","Understand means for increased flexibility in the potential career paths of RSEs.

Specialising in a particular area (HPC, UI/UX, etc) or domain (biology, physics, etc), may bring significant efficiencies. We need to understand those efficiencies design career tracks which allow for such specialzation",,
People,Low,Do RSEs work exclusively in academia or is there a significant proportion of RSEs working in industry on research-aligned software?,"It is typically assumed that RSEs are embedded in the world of academia, but this assumption should be verified.",,
People,Low,Which people (eg postdoc/staff/devs) who do RSEng as at least some of their jobs consider themselves an RSE? At what point does this occur? ,Answering this question may provide numbers on actual RSE counts. Community size numbers may help interacting with funders and research org’s.,,
People,Low,"What constitutes an RSE? What skills do they have? What is the scientific/technical background of RSEs? a) what kinds of things they do b) what job titles are they in (not all, and maybe only a minority, actually have RSE as their job title, or part of it)?",Want to understand how flexibly RSEs can (and want to) work across domains,"Heaton and Carver 2015, Storer 2017","https://researchsoftware.org/2020/11/03/single-entry-point-and-marketplace-for-the-RSE-community-RSE-profile-map.html
Job pages at universities
Job aggregators might help with right keywords
FAVER in Australia have done some work on this"
People,Low,What other things do people do who are not full-time RSEs but do some RSEng?,,,
People,Low,How many RSEs are tied to a domain (and do they want to be)?,Want to understand how flexibly RSEs can (and want to) work across domains,,
People,Low,"How can we distinguish between research positions that involve software (and models) and RSE positions (eg are computational modellers RSEs)? (maybe this is partly based on expected outputs, science vs software)",,,
People,High,What are the disadvantages to being labeled RSE?,"This may help the RSE community better serve individuals who do not currently identify themselves as RSEs.

This is also important to manage expectations of RSEs being programming-hero-swiss-army-knife-can-do-any-computing-job-type person.",,
People,Low,Is certification important in the RSE field? What options already exist in this area and is there scope to develop new opportunities for being “officially” recognised as an RSE?,,,
People,Low,"How much does the community around software increase sustainability, usage, efficiency etc? (A lot, community checks the bugs and questions the assumptions. Community is needed for standards)",It would be useful to know this to justify (at an individual and institutional levels) how much time / effort to spend on such communities.,,
People,Low,How do we help RSEs to support open source/community software? Do RSEs want to?,,Nowogrodzki 2019,"There is a case in physics where two competing labs were reluctant to share their source code due to the lack of incentives for bringing the code quality up before publishing it (e.g. writing tests and docs). After 7 years of debates on the phase diagram of water, the source code of both labs were released and a bug was found in one of them. After fixing it, both softwares agreed on the phase diagram.
- summary: Smart 2018 10.1063/PT.6.1.20180822a
- paper: Palmer 2018 10.1063/1.5029463"
People,Low,"What knowledge and skills do RSEs bring from their education, and what do they teach themselves or learn from peers?","Improving education

Assembling and documenting expertise from the most experienced RSEs","Johanson and Hasselbring 2018, Hannay et al. 2009",
People,High,What would RSEs have liked to learn before starting their RSE careers? What skills will someone starting an RSE career in five years need?,"Improving education

Understand what the changing requirements for RSEs are, and what we should be teaching potential RSEs",,https://rsetoolkit.github.io/
People,High,Should RSE training be part of the curriculum of every student?,"""RSE skills"" (software development, continuous intergation and deployment tooling, software design models and patterns, etc.) are a super-useful almost necessary skill in today’s academic world. All students should know it.",,
People,Low,What do RSEs need to be able to manage a community for software?,,"Carillo, Huff, and Chawner 2017",
People,Low,How visible is RSE among students? How many students (across disciplines) know about RSE?,"Need for promoting the field early, give students access to communities (Google Summer of Code and similar programs are very good at this)",,
People,Low,What do RSEs expect from their (national and international) communities?,"Understand what kinds of events and activities should be planned, guidance for national RSE groups etc.

“Please cite my tool paper” (can we find some action that is more supportive/effective than this)",,
People,Low,"How can we sustain budding RSE communities in terms of funding, people working full-time for associations etc. How can we sustain community RSE work?",To be able to support  both existing and budding RSE communitiesUnderstand what can be done to help existing and new communities to sustain themselves,Sufi and Jay 2018,
People,Low,How diverse is the RSE community?,"Community aims to be very diverse, but do they really achieve that? Diversity along all dimensions. (R has fantastic supportive and diverse communities for female developers, Python less so - but it has been questioned)

This is important to be able to make the RSE community more diverse.","Chue Hong, Neil P., Cohen, Jeremy, and Jay, Caroline 2020, Chue Hong 2020",
People,High,How do we prevent waste of resources and effort from people moving on or to other projects such that software becomes unmaintained and unusable?,,,
People,Low,"What is the optimum size of an RSE group? How many people does an RSE group need to have (for which purpose)? Do RSEs contribute to community-maintained software projects, and do they get time for that as part of their paid jobs?","Different purposes need different staffing, How to recommend best practice to organisations just starting out?","Katz et al. 2019, Katz, Daniel S. 2020",
People,Low,"Are there patterns in the working locations of RSEs? For example:
 - Is it common to work remotely as an RSE?
 - Of those working in a fixed location (ignoring COVID disruption!) are there hotspots where RSEs are clustered (both considering, and ignoring, general patterns of worker location e.g. more in captial cities)? Perhaps near to universities or science parks, etc.?
","To know if there are areas (be it cities or even whole countries) where there are relatively few RSEs, e.g. to understand how RSE communities can be established further there, and where there are relatively many, in which case e.g. in-person meet ups may be possible.",,
People,Low,"What does a RSE manager do, and do we need a separate role?",,,
People,Low,How do we establish RSE education?,"Motivation is clear, but process to get there unclear, and highly political",,
People,Low,How many RSEs are in X country?,"Need for dedicated job profiles, convincing policy makers that long-term perspectives for RSEs are needed",,
People,High,How much of the RSE work needed is done by staff (eg postdocs) in unstable positions?,Having people recognise the work done by RSEs is key to getting funding and policy changes,,
Policy,High,What proportion of funding should be dedicated to the infrastructure required for generic software projects?,"Currently under-funded, but still critical.",,
Policy,High,How are RSE groups funded?,Knowing this will help others start up their own groups,,"Think this is known for UK eg some data at https://ukrse.github.io/groups.html and https://www.software.ac.uk/blog/2018-04-11-secret-behind-growth-rse-groups-uk        

This may be low hanging fruit, because the UK RSE groups may be a proof-of-concept and role-model. Examples included UK EPSRC RSE Fellowships, UK EPSRC Software Infrastructure Strategy + examples from other national funding bodies"
Policy,High,"How crucial are RSEs to research projects, short and long term? What is the value of RSEs to an institution? What contribution do RSEs provide to research? What research results evaluation schemes exist that 'acknowledge' RSE work? Are there any alternative ways of defining success for RSEs? What is the return on investment for hiring an RSE? How could this be quantified?",Important question to answer when looking for additional funding,"Carillo, Huff, and Chawner 2017, Johanson and Hasselbring 2018, Katz et al. 2019, Anzt et al. 2020, Cohen et al. 2021",https://hidden-ref.org/ is eg of evaluation system
Policy,High,What are suitable merit evaluation schemes / metrics for RSEs?,"Need ways to evaluate their work, and this ties in with need for software metrics",,
Policy,Low,What are the policies at universities and (inter)national funding organizations regarding software licensing,We need to understand this in order to be able to provide sound advice on software licensing,,"It is likely to be reasonably straightforward to gather a significant amount of this information since for many institutions/funding agencies, it’s likely to be publicly accessible on their website. Given a reasonable set of this data we can develop a picture of how institutions see software and its licensing. How does this affect RSE/RSEs? Can it be improved and offer better support to RSE careers? Do these policies different between research domains, etc and how does this affect opportunities for RSEs?"
Policy,High,How many RSE groups are in each country (in relation to the number of universities/research institutes)?,,,
Policy,High,"
Which funders if any support grants for long-term sustainability for software infrastructure?",Long term sustainability is one of the biggest issues in research infrastructure,,"CZI EOSS program. Grant programs in Germany: research software sustainability 2016 (list of funded institutes), research software quality assurance 2019

See question “What amount of funding is available to support new critical software vs maintenance of existing critical software?” in Topic 2 infrastructure: multiple north-american and european funding agencies have created grant programs for research software sustainability."
Policy,High,Does stating in the funding guidance that RSEs can be put on a research funding proposal increase the likelihood of RSEs being put on fundable / successful grants,"Understand if funder guidance can help change culture, or if this needs to be applied at the research organisation instead to be useful. Limited timeframe for doing this, as we need to do it as funders are implementing this guidance.",,
Policy,Low,"What are funders (ie whoever is forming this group, could be national or institutional) trying to build in RSE groups eg groups with specific types of expertise eg HPC RSE group vs a generalist group. Are there significant policy differences eg in different countries in what funders understand an RSE organisation to be eg centres of RSE expertise in a particular areas vs more general",To better target funders for RSE funding ie being able to use RSE term with more clarity,,"Part of a bigger question; How can you transition from policy statements (position papers, guidelines, etc.) to policy implementation in terms of actual funding?"
